target_id	length	eff_length	est_counts	tpm
GENE_00001	1127	1027	400	389.484
GENE_00002	771	671	592	882.265
GENE_00003	808	708	528	745.763
GENE_00004	1793	1693	531	313.644
GENE_00005	1084	984	347	352.642
GENE_00006	483	383	470	1227.154
GENE_00007	1577	1477	395	267.434
GENE_00008	1555	1455	507	348.454
GENE_00009	1505	1405	544	387.189
GENE_00010	1065	965	710	735.751
GENE_00011	1984	1884	384	203.822
GENE_00012	611	511	597	1168.297
GENE_00013	1245	1145	396	345.852
GENE_00014	993	893	335	375.14
GENE_00015	469	369	615	1666.667
GENE_00016	1886	1786	459	256.999
GENE_00017	479	379	400	1055.409
GENE_00018	851	751	519	691.079
GENE_00019	1442	1342	567	422.504
GENE_00020	1394	1294	503	388.717
GENE_00021	465	365	291	797.26
GENE_00022	1540	1440	550	381.944
GENE_00023	1247	1147	593	517.001
GENE_00024	742	642	486	757.009
GENE_00025	1764	1664	594	356.971
GENE_00026	1519	1419	650	458.069
GENE_00027	663	563	637	1131.439
GENE_00028	375	275	449	1632.727
GENE_00029	524	424	612	1443.396
GENE_00030	1978	1878	516	274.76
GENE_00031	1158	1058	591	558.601
GENE_00032	476	376	551	1465.426
GENE_00033	592	492	496	1008.13
GENE_00034	975	875	509	581.714
GENE_00035	578	478	433	905.858
GENE_00036	1912	1812	490	270.419
GENE_00037	413	313	431	1376.997
GENE_00038	1417	1317	416	315.869
GENE_00039	1127	1027	523	509.25
GENE_00040	1723	1623	453	279.113
GENE_00041	1275	1175	546	464.681
GENE_00042	1771	1671	475	284.261
GENE_00043	1528	1428	510	357.143
GENE_00044	1136	1036	443	427.606
GENE_00045	554	454	545	1200.441
GENE_00046	656	556	531	955.036
GENE_00047	663	563	308	547.069
GENE_00048	1448	1348	621	460.682
GENE_00049	953	853	523	613.13
GENE_00050	827	727	322	442.916
